species	locus	numQs
107	Aphanapteryx_bonasia_0	seqs_DNA_seqfrom_Aphanapteryx_bonasia_0	20828
108	Rallina_canningi_0	seqs_DNA_seqfrom_Rallina_canningi_0	20828
109	Coturnicops_exquisitus_0	seqs_DNA_seqfrom_Coturnicops_exquisitus_0	20521
110	Coturnicops_notatus_0	seqs_DNA_seqfrom_Coturnicops_notatus_0	20828
111	Atlantisia_elpenor_0	seqs_DNA_seqfrom_Atlantisia_elpenor_0	20828
112	Laterallus_fasciatus_0	seqs_DNA_seqfrom_Laterallus_fasciatus_0	20521
113	Laterallus_ruber_0	seqs_DNA_seqfrom_Laterallus_ruber_0	20828
114	Laterallus_levraudi_0	seqs_DNA_seqfrom_Laterallus_levraudi_0	20828
115	Laterallus_xenopterus_0	seqs_DNA_seqfrom_Laterallus_xenopterus_0	20828
116	Laterallus_spilonotus_0	seqs_DNA_seqfrom_Laterallus_spilonotus_0	20828
117	Porzana_spiloptera_0	seqs_DNA_seqfrom_Porzana_spiloptera_0	20828
118	Porzana_flaviventer_0	seqs_DNA_seqfrom_Porzana_flaviventer_0	20828
119	Porzana_carolina_0	seqs_DNA_seqfrom_Porzana_carolina_0	20521
120	Porzana_albicollis_0	seqs_DNA_seqfrom_Porzana_albicollis_0	18911
121	Porzana_pusilla_0	seqs_DNA_seqfrom_Porzana_pusilla_0	18508
122	Porzana_fluminea_0	seqs_DNA_seqfrom_Porzana_fluminea_0	18469
123	Porzana_paykullii_0	seqs_DNA_seqfrom_Porzana_paykullii_0	18982
124	Amaurornis_bicolor_0	seqs_DNA_seqfrom_Amaurornis_bicolor_0	20828
125	Amaurornis_olivieri_0	seqs_DNA_seqfrom_Amaurornis_olivieri_0	20828
126	Porzana_flavirostra_0	seqs_DNA_seqfrom_Porzana_flavirostra_0	20828
127	Porzana_monasa_0	seqs_DNA_seqfrom_Porzana_monasa_0	20828
128	Porzana_atra_0	seqs_DNA_seqfrom_Porzana_atra_0	20828
129	Porzana_tabuensis_0	seqs_DNA_seqfrom_Porzana_tabuensis_0	18426
130	Porzana_palmeri_0	seqs_DNA_seqfrom_Porzana_palmeri_0	20828
131	Porzana_sandwichensis_0	seqs_DNA_seqfrom_Porzana_sandwichensis_0	20828
132	Neocrex_colombianus_0	seqs_DNA_seqfrom_Neocrex_colombianus_0	20828
133	Amaurornis_olivaceus_0	seqs_DNA_seqfrom_Amaurornis_olivaceus_0	20828
134	Amaurornis_akool_0	seqs_DNA_seqfrom_Amaurornis_akool_0	19923
135	Amaurornis_isabellinus_0	seqs_DNA_seqfrom_Amaurornis_isabellinus_0	20828
136	Porphyriops_melanops_0	seqs_DNA_seqfrom_Porphyriops_melanops_0	19807
137	Gallinula_galeata_0	seqs_DNA_seqfrom_Gallinula_galeata_0	20323
138	Gallinula_nesiotis_0	seqs_DNA_seqfrom_Gallinula_nesiotis_0	20828
139	Gallinula_comeri_0	seqs_DNA_seqfrom_Gallinula_comeri_0	20828
140	Gallinula_silvestris_0	seqs_DNA_seqfrom_Gallinula_silvestris_0	20828
141	Gallinula_pacifica_0	seqs_DNA_seqfrom_Gallinula_pacifica_0	20828
142	Tribonyx_hodgenorum_0	seqs_DNA_seqfrom_Tribonyx_hodgenorum_0	20828
143	Hovacrex_roberti_0	seqs_DNA_seqfrom_Hovacrex_roberti_0	20828
144	Fulica_cornuta_0	seqs_DNA_seqfrom_Fulica_cornuta_0	20828
145	Fulica_chathamensis_0	seqs_DNA_seqfrom_Fulica_chathamensis_0	20828
146	Fulica_newtoni_0	seqs_DNA_seqfrom_Fulica_newtoni_0	20828
147	Erythromachus_leguati_0	seqs_DNA_seqfrom_Erythromachus_leguati_0	20828
148	Diaphorapteryx_hawkinsi_0	seqs_DNA_seqfrom_Diaphorapteryx_hawkinsi_0	20164
149	Aphanocrex_podarces_0	seqs_DNA_seqfrom_Aphanocrex_podarces_0	20828
150	Nesotrochis_debooyi_0	seqs_DNA_seqfrom_Nesotrochis_debooyi_0	20828
151	Nesotrochis_steganinos_0	seqs_DNA_seqfrom_Nesotrochis_steganinos_0	20828
